Date,Revenue,Expenses,Profit,Cash_Flow,Assets,Liabilities,Equity
2023-01-01,95000,65000,30000,25000,480000,180000,300000
2023-02-01,105000,72000,33000,28000,490000,185000,305000
2023-03-01,98000,68000,30000,26000,485000,182000,303000
2023-04-01,112000,75000,37000,32000,500000,190000,310000
2023-05-01,108000,73000,35000,30000,495000,188000,307000
2023-06-01,115000,78000,37000,33000,505000,195000,310000
2023-07-01,102000,70000,32000,27000,490000,185000,305000
2023-08-01,118000,80000,38000,35000,510000,200000,310000
2023-09-01,110000,75000,35000,30000,500000,190000,310000
2023-10-01,125000,85000,40000,38000,520000,210000,310000
2023-11-01,120000,82000,38000,35000,515000,205000,310000
2023-12-01,130000,88000,42000,40000,525000,215000,310000
2024-01-01,135000,92000,43000,42000,530000,220000,310000 